NAME, SALARY
Kobe Bryant, $23034375
Jermaine O'Neal, $23016000
Tracy McGrady, $22843124
Tim Duncan, $22183220
Shaquille O'Neal, $21000000
Dirk Nowitzki, $19795714
Paul Pierce, $19795712
Ray Allen, $18776860
Rashard Lewis, $18010791
Michael Redd, $17040000
NAME, SALARY
Andrei Kirilenko, $16452000
Pau Gasol, $16452000
Kevin Garnett, $16417044
Amar'e Stoudemire, $16378325
Yao Ming, $16378325
Gilbert Arenas, $16192080
Vince Carter, $16123250
Zach Randolph, $16000000
Kenyon Martin, $15852511
Chris Bosh, $15779912
NAME, SALARY
Dwyane Wade, $15779912
Carmelo Anthony, $15779912
LeBron James, $15779912
Dwight Howard, $15202590
Joe Johnson, $14976754
Elton Brand, $14858472
Richard Jefferson, $14200000
Chris Paul, $13520500
Deron Williams, $13520500
Peja Stojakovic, $13392000
NAME, SALARY
Jason Richardson, $13333332
Steve Nash, $13125000
Tony Parker, $12600000
Andrew Bynum, $12500000
Carlos Boozer, $12323900
Brad Miller, $12250000
Andre Iguodala, $12200000
Erick Dampier, $12115500
Baron Davis, $12100000
Chauncey Billups, $12100000
NAME, SALARY
Samuel Dalembert, $12025694
Al Jefferson, $12000000
Tyson Chandler, $11700000
Antawn Jamison, $11641095
Richard Hamilton, $11375000
Bobby Simmons, $11242666
Troy Murphy, $11047619
Monta Ellis, $11000000
Josh Howard, $10890000
Josh Smith, $10800000
NAME, SALARY
Emeka Okafor, $10797500
Manu Ginobili, $10728130
Nene Hilario, $10520000
Eddy Curry, $10500423
Chris Kaman, $10400000
Luol Deng, $10365000
Tayshaun Prince, $10324380
Danny Granger, $10130500
Al Harrington, $10026875
Ben Gordon, $10000000
NAME, SALARY
Andrew Bogut, $10000000
Mike Dunleavy, $9780992
Caron Butler, $9780970
Mike Miller, $9780937
Kevin Martin, $9680170
Cuttino Mobley, $9500000
Gerald Wallace, $9500000
Kirk Hinrich, $9500000
Jamal Crawford, $9360000
Marcus Camby, $9150000
NAME, SALARY
David West, $9075000
Jason Terry, $9075000
Boris Diaw, $9000000
Andris Biedrins, $9000000
Hedo Turkoglu, $9000000
Corey Maggette, $8937931
Mo Williams, $8860000
Kenny Thomas, $8775000
Quentin Richardson, $8700000
T.J. Ford, $8500000
NAME, SALARY
Devin Harris, $8400000
Jose Calderon, $8219009
