RK,NAME,,SALARY
1,Kobe Bryant, SF,"$23,500,000"
2,Joe Johnson, SF,"$23,180,790"
3,Carmelo Anthony, SF,"$22,458,401"
4,Dwight Howard, C,"$21,436,271"
5,Chris Bosh, PF,"$20,644,400"
6,LeBron James, SF,"$20,644,400"
7,Chris Paul, PG,"$20,068,563"
8,Deron Williams, PG,"$19,754,465"
9,Rudy Gay, SF,"$19,317,326"
10,Kevin Durant, SF,"$18,995,624"
RK,NAME,,SALARY
11,Derrick Rose, PG,"$18,862,876"
12,Blake Griffin, PF,"$17,674,613"
13,Zach Randolph, PF,"$16,500,000"
14,LaMarcus Aldridge, PF,"$16,006,000"
15,Paul George, SF,"$15,937,290"
16,Marc Gasol, C,"$15,829,688"
17,Kevin Love, PF,"$15,719,063"
18,Russell Westbrook, PG,"$15,719,062"
19,Brook Lopez, C,"$15,719,062"
20,David Lee, PF,"$15,012,000"
RK,NAME,,SALARY
21,Dwyane Wade, SG,"$15,000,000"
22,Roy Hibbert, C,"$14,898,938"
23,Eric Gordon, SG,"$14,898,938"
24,Tyson Chandler, C,"$14,846,888"
25,John Wall, PG,"$14,746,000"
26,DeMarcus Cousins, C,"$14,746,000"
27,James Harden, SG,"$14,728,844"
28,Chandler Parsons, SF,"$14,700,000"
29,Al Jefferson, C,"$13,500,000"
30,Nene Hilario, C,"$13,000,000"
RK,NAME,,SALARY
31,Eric Bledsoe, PG,"$13,000,000"
32,Andrew Bogut, C,"$12,972,973"
33,Derrick Favors, PF,"$12,950,000"
34,Rajon Rondo, PG,"$12,909,090"
35,Joakim Noah, C,"$12,700,000"
36,Tony Parker, PG,"$12,500,000"
37,Serge Ibaka, PF,"$12,350,000"
38,Andre Iguodala, SF,"$12,289,544"
39,Nikola Pekovic, C,"$12,100,000"
40,Kyle Lowry, PG,"$12,000,000"
41,Al Horford, C,"$12,000,000"
42,Nicolas Batum, SG,"$11,765,500"
43,Ty Lawson, PG,"$11,595,506"
44,Andrea Bargnani, C,"$11,500,000"
45,DeAndre Jordan, C,"$11,440,123"
46,Tyreke Evans, SG,"$11,265,416"
47,JaVale McGee, C,"$11,250,000"
48,Larry Sanders, C,"$11,000,000"
49,Danilo Gallinari, SF,"$10,854,850"
50,Stephen Curry, PG,"$10,629,213"
RK,NAME,,SALARY
51,Marcin Gortat, C,"$10,434,782"
52,Tim Duncan, C,"$10,361,446"
53,Gerald Wallace, SF,"$10,105,855"
54,DeMar DeRozan, SG,"$10,100,000"
55,Jrue Holiday, PG,"$9,904,495"
56,Luol Deng, SF,"$9,714,461"
57,Anderson Varejao, PF,"$9,704,545"
58,Steve Nash, PG,"$9,701,000"
59,Paul Millsap, PF,"$9,500,000"
