NAME, SALARY
Kobe Bryant, $23500000
Joe Johnson, $23180790
Carmelo Anthony, $22458401
Dwight Howard, $21436271
Chris Bosh, $20644400
LeBron James, $20644400
Chris Paul, $20068563
Deron Williams, $19754465
Rudy Gay, $19317326
Kevin Durant, $18995624
NAME, SALARY
Derrick Rose, $18862876
Blake Griffin, $17674613
Zach Randolph, $16500000
LaMarcus Aldridge, $16006000
Paul George, $15937290
Marc Gasol, $15829688
Kevin Love, $15719063
Russell Westbrook, $15719062
Brook Lopez, $15719062
David Lee, $15012000
NAME, SALARY
Dwyane Wade, $15000000
Roy Hibbert, $14898938
Eric Gordon, $14898938
Tyson Chandler, $14846888
John Wall, $14746000
DeMarcus Cousins, $14746000
James Harden, $14728844
Chandler Parsons, $14700000
Al Jefferson, $13500000
Nene Hilario, $13000000
NAME, SALARY
Eric Bledsoe, $13000000
Andrew Bogut, $12972973
Derrick Favors, $12950000
Rajon Rondo, $12909090
Joakim Noah, $12700000
Tony Parker, $12500000
Serge Ibaka, $12350000
Andre Iguodala, $12289544
Nikola Pekovic, $12100000
Kyle Lowry, $12000000
